Episode,Steps,Total Reward,Final Y,Comment
1,84,54.47997203999289,0.05030950683431227,Goal reached!
2,73,58.84135938250597,0.05027204049852142,Goal reached!
3,129,58.52801425435986,0.05031024549609853,Goal reached!
4,317,50.45643449020213,0.053062620211509204,Goal reached!
5,13,58.078428272534495,0.06585842287652935,Goal reached!
6,3519,-54.320029706618435,0.051411643057820526,Goal reached!
7,332,51.36513557963035,0.05703620948539695,Goal reached!
8,624,-41.06893572106155,-0.12683486280736253,Simulation ended by user.
